6,The Odyssey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Scary Movie 6,,,Narnia: The Magician's Nephew,6
,,,,The Odyssey,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Narnia: The Magician's Nephew,,,,
11,Werwulf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Scary Movie 6,11
,,,,,,,Moana,,,,,,,,,,,,,,,,,,,,,,Jumanji 4,,,,,,,
3,Moana,,,Points!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jumanji 4,3
,,,,Moana,1,,,,,,,,,,,,,,,,,,,,,,,,,,,Jumanji 4,,,,
14,Remain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Greeland 2: Migration,14
,,,,,,,,,,Moana,,,,,,,,,,,,,,,,Supergirl: Woman of Tomorrow,,,,,,,,,,
7,Insidious 6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Coyote vs Acme,7
,,,,Insidious 6,,,,,,,,,,,,,,,,,,,,,,,,,,,,Resident Evil,,,,
10,Evil Dead Burn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Resident Evil,10
,,,,,,,Dune: Part Three,,,,,,,,,,,,,,,,,,,,,,Supergirl: Woman of Tomorrow,,,,,,,
2,Dune: Part Three,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Points!,,,Supergirl: Woman of Tomorrow,2
,,,,Dune: Part Three,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Supergirl: Woman of Tomorrow,,,,
15,Shiver,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,The Sheep Detectives,15
